artist_name,track_name,track_id,artist_href,track_href,genre_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
jean-yves thibaudet,"dawn - from ""pride & prejudice"" soundtrack",0EHJOhOakEiobXo81vegdy,https://open.spotify.com/artist/1Dot4uMsJMx8n1Xi7gAdV6,https://open.spotify.com/track/0EHJOhOakEiobXo81vegdy,classical,0.332,0.0525,0,-24.1,1,0.0388,0.991,0.891,0.0683,0.097,78.853,158600
jesse brown,notes from tom,0MXNBq9JKgNoUprg9PMQwA,https://open.spotify.com/artist/5ou3jxRm9LFgxvuZij5LBT,https://open.spotify.com/track/0MXNBq9JKgNoUprg9PMQwA,classical,0.466,0.137,3,-21.85,0,0.0442,0.99,0.942,0.0895,0.152,103.02,167768
frédéric chopin,nocturne en mi bémol majeur opus 9 n°2: ballade en sol mineur no.1,7n92QzQomRCLlciO14X0kd,https://open.spotify.com/artist/7y97mc3bZRFXzT2szRM4L4,https://open.spotify.com/track/7n92QzQomRCLlciO14X0kd,classical,0.387,0.0451,3,-24.698,1,0.0364,0.99,0.913,0.112,0.071,61.494,268427
arelius,air,4F65GPn78BrRvP638wEQZP,https://open.spotify.com/artist/5EPSFsZ4hH2NhjBNsVwQfH,https://open.spotify.com/track/4F65GPn78BrRvP638wEQZP,classical,0.376,0.109,2,-24.201,1,0.0422,0.981,0.901,0.104,0.285,68.307,172000
frédéric chopin,"chopin: nocturne no. 20 in c-sharp minor, op. posth.",2MSgFefjK0T7Iwjvr3OKqV,https://open.spotify.com/artist/7y97mc3bZRFXzT2szRM4L4,https://open.spotify.com/track/2MSgFefjK0T7Iwjvr3OKqV,classical,0.225,0.0047,1,-30.928,0,0.0509,0.992,0.881,0.0722,0.186,163.665,259493
akira kosemura,the eighth day,1kWJ8up3tFBIi6f78gsPrs,https://open.spotify.com/artist/4n1lW38WKgyPEIZowQ3AND,https://open.spotify.com/track/1kWJ8up3tFBIi6f78gsPrs,classical,0.569,0.153,6,-18.637,0,0.0359,0.972,0.939,0.114,0.136,136.007,155444
charles bolt,tone of love,3Z0n8POAcDQCSyxA06cqbW,https://open.spotify.com/artist/4FX5p8T76gw69sWyPbggCj,https://open.spotify.com/track/3Z0n8POAcDQCSyxA06cqbW,classical,0.472,0.0527,7,-21.17,1,0.0623,0.995,0.969,0.115,0.227,87.71,198953
gavin luke,the gift,3AwLPoRTS7GNMTEb6UjAbw,https://open.spotify.com/artist/2bqAlaRiT91dCQ7KMGnP8i,https://open.spotify.com/track/3AwLPoRTS7GNMTEb6UjAbw,classical,0.161,0.103,1,-21.268,1,0.0408,0.927,0.946,0.103,0.11,75.659,158575
kendra logozar,softly,6plAuHENSbslv0tAe8verB,https://open.spotify.com/artist/7rwhybBLjf5jWQsmXfwJhd,https://open.spotify.com/track/6plAuHENSbslv0tAe8verB,classical,0.482,0.0529,9,-25.338,1,0.0512,0.995,0.96,0.0869,0.179,65.285,146529
peter cavallo,the half light,71yLhDpyToB7Z0e7COEd6a,https://open.spotify.com/artist/4wkhNurLn15nvnOh3O8yCV,https://open.spotify.com/track/71yLhDpyToB7Z0e7COEd6a,classical,0.422,0.0428,0,-22.375,0,0.0498,0.995,0.954,0.0967,0.109,110.408,184019
peter sandberg,rise,0P9iHoMjt1UlJfdcijOBHZ,https://open.spotify.com/artist/3LtlJprzuq0Ii8p8YFZXai,https://open.spotify.com/track/0P9iHoMjt1UlJfdcijOBHZ,classical,0.435,0.034,5,-30.207,1,0.0465,0.992,0.934,0.0932,0.142,140.199,190291
niall byrne,felt improv no. 3,4mUEjeo70EeAq2ARJySrj6,https://open.spotify.com/artist/39u6Bl8CfMjzqKVaM3JsTJ,https://open.spotify.com/track/4mUEjeo70EeAq2ARJySrj6,classical,0.499,0.0199,4,-35.675,1,0.0598,0.988,0.858,0.11,0.176,69.301,181796
oskar schuster,theben,47ANidpOmgAqEP35AKwPVU,https://open.spotify.com/artist/06n2rDm62tW55l6cZEL15r,https://open.spotify.com/track/47ANidpOmgAqEP35AKwPVU,classical,0.512,0.0801,9,-18.258,0,0.0458,0.978,0.935,0.1,0.43,131.882,160000
olivia belli,silent dusk,0IjOLaGtgjYKC5MOxEhEel,https://open.spotify.com/artist/3JU9NLB27wyGhbwbApR9uy,https://open.spotify.com/track/0IjOLaGtgjYKC5MOxEhEel,classical,0.319,0.0303,6,-30.382,1,0.0396,0.995,0.909,0.0858,0.067,144.044,209103
peter sandberg,remove the complexities,7McExzjmhDI5NQ6l4D9XR9,https://open.spotify.com/artist/3LtlJprzuq0Ii8p8YFZXai,https://open.spotify.com/track/7McExzjmhDI5NQ6l4D9XR9,classical,0.235,0.116,4,-21.701,1,0.0328,0.988,0.951,0.122,0.109,167.941,135668
johann sebastian bach,"the well-tempered clavier: book 1, bwv 846-869: 1. prelude in c major, bwv 846",4SFBV7SRNG2e2kyL1F6kjU,https://open.spotify.com/artist/5aIqB5nVVvmFsvSdExz408,https://open.spotify.com/track/4SFBV7SRNG2e2kyL1F6kjU,classical,0.221,0.126,0,-25.427,1,0.0447,0.989,0.897,0.102,0.216,133.63,139307
joep beving,ala,0vzSIBAqnN1HzvWrPbh6VF,https://open.spotify.com/artist/2VKfXEWzhUi9siHBDTI02Y,https://open.spotify.com/track/0vzSIBAqnN1HzvWrPbh6VF,classical,0.384,0.125,10,-22.4,1,0.0315,0.987,0.929,0.112,0.369,80.185,120741
frédéric chopin,革命エチュード,0pkuhpzaQzO4kkL5YvqUIg,https://open.spotify.com/artist/7y97mc3bZRFXzT2szRM4L4,https://open.spotify.com/track/0pkuhpzaQzO4kkL5YvqUIg,classical,0.282,0.171,5,-20.755,0,0.0345,0.973,0.824,0.0962,0.198,131.901,159886
frédéric chopin,小犬のワルツ,6SlIO9undgSbP7YMGUchP4,https://open.spotify.com/artist/7y97mc3bZRFXzT2szRM4L4,https://open.spotify.com/track/6SlIO9undgSbP7YMGUchP4,classical,0.159,0.153,1,-23.856,1,0.0341,0.964,0.973,0.149,0.283,67.51,108157
frédéric chopin,別れの曲,55QJnvRTkvYmXisbddsTso,https://open.spotify.com/artist/7y97mc3bZRFXzT2szRM4L4,https://open.spotify.com/track/55QJnvRTkvYmXisbddsTso,classical,0.386,0.0417,4,-25.703,1,0.0478,0.994,0.865,0.0679,0.0384,137.165,247800
frédéric chopin,ノクターン 第20番 嬰ハ短調(遺作),1yRjnD2pZADlhfUfugR2lh,https://open.spotify.com/artist/7y97mc3bZRFXzT2szRM4L4,https://open.spotify.com/track/1yRjnD2pZADlhfUfugR2lh,classical,0.239,0.0087,1,-33.223,0,0.0527,0.992,0.944,0.0834,0.152,66.128,263036
frédéric chopin,雨だれの前奏曲,5vMAyJTlZAzl0xXW9t3kbU,https://open.spotify.com/artist/7y97mc3bZRFXzT2szRM4L4,https://open.spotify.com/track/5vMAyJTlZAzl0xXW9t3kbU,classical,0.372,0.00527,1,-28.233,1,0.0645,0.995,0.935,0.0905,0.0775,92.834,483923
frédéric chopin,ノクターン 第2番,2HK59k79cx72rCsa87N3PP,https://open.spotify.com/artist/7y97mc3bZRFXzT2szRM4L4,https://open.spotify.com/track/2HK59k79cx72rCsa87N3PP,classical,0.381,0.0163,10,-31.431,1,0.0447,0.991,0.935,0.088,0.0673,97.06,291421
ólafur arnalds,saman,5RqKo9P4DLA0bVyY70cWkr,https://open.spotify.com/artist/7E3BRXV9ZbCt5lQTCXMTia,https://open.spotify.com/track/5RqKo9P4DLA0bVyY70cWkr,classical,0.583,0.0238,0,-32.244,0,0.0369,0.994,0.847,0.103,0.426,108.74,131923
samuel lindon,la tour,0NOzMlTrPHMQ68snNK891G,https://open.spotify.com/artist/5nJRL0Qfseg7ZJGbT2eVrA,https://open.spotify.com/track/0NOzMlTrPHMQ68snNK891G,classical,0.573,0.0198,3,-25.76,0,0.0449,0.993,0.941,0.112,0.284,61.978,134000
jim perkins,outside,1R5P9ersiA9xKk00JEXfSU,https://open.spotify.com/artist/6ihM9B0SRS5Xcvsw03Y1Vi,https://open.spotify.com/track/1R5P9ersiA9xKk00JEXfSU,classical,0.569,0.0238,6,-23.88,0,0.0709,0.992,0.941,0.0864,0.224,71.186,118000
edvard grieg,"lyric pieces, book 5, op. 54: nocturne",2GJFu2G9fhaYFrOoX9bejs,https://open.spotify.com/artist/5ihY290YPGc3aY2xTyx7Gy,https://open.spotify.com/track/2GJFu2G9fhaYFrOoX9bejs,classical,0.296,0.0435,0,-29.73,1,0.0411,0.987,0.857,0.0786,0.0302,72.282,220773
gavin luke,night walk,0ePG8cXgoLfOqVYVX8Ju6a,https://open.spotify.com/artist/2bqAlaRiT91dCQ7KMGnP8i,https://open.spotify.com/track/0ePG8cXgoLfOqVYVX8Ju6a,classical,0.249,0.128,6,-19.254,1,0.0408,0.978,0.922,0.109,0.388,170.246,140586
claude debussy,suite bergamasque: suite bergamasque: iii. clair de lune. andante très expressif,6N7JzrteJv8lsr1GWYyu0b,https://open.spotify.com/artist/1Uff91EOsvd99rtAupatMP,https://open.spotify.com/track/6N7JzrteJv8lsr1GWYyu0b,classical,0.343,0.0252,1,-27.013,1,0.0488,0.993,0.932,0.0454,0.0395,67.207,279160
johannes bornlöf,streams,16oJbTzbcxatoOxZdteo3w,https://open.spotify.com/artist/1yLIaxyVkZnLMXhfRSYEjV,https://open.spotify.com/track/16oJbTzbcxatoOxZdteo3w,classical,0.537,0.0435,1,-21.483,0,0.0464,0.995,0.953,0.105,0.225,109.308,134923
yiruma,kiss the rain,40BHvbyw4UeadzkzaVpcbD,https://open.spotify.com/artist/0fauHpmSHwodVYIjTqOGHz,https://open.spotify.com/track/40BHvbyw4UeadzkzaVpcbD,classical,0.559,0.0519,8,-22.616,1,0.0423,0.99,0.905,0.117,0.182,132.694,260653
akira kosemura,wavering heart,01Obe4SWMXoUKak13Uue71,https://open.spotify.com/artist/4n1lW38WKgyPEIZowQ3AND,https://open.spotify.com/track/01Obe4SWMXoUKak13Uue71,classical,0.394,0.16,1,-22.689,1,0.0388,0.993,0.969,0.103,0.365,125.197,141958
olivia belli,the faun's dream,48iwbuQAHWZHGfqqEC0oOs,https://open.spotify.com/artist/3JU9NLB27wyGhbwbApR9uy,https://open.spotify.com/track/48iwbuQAHWZHGfqqEC0oOs,classical,0.45,0.0356,2,-31.963,0,0.0419,0.994,0.913,0.0803,0.0921,114.44,170654
johannes bornlöf,reminiscence,4JX3QGip45EV6Ne0uvV9NK,https://open.spotify.com/artist/1yLIaxyVkZnLMXhfRSYEjV,https://open.spotify.com/track/4JX3QGip45EV6Ne0uvV9NK,classical,0.533,0.0842,8,-17.49,1,0.0494,0.988,0.91,0.111,0.197,61.773,152747
benjamin gustafsson,dormiveglia,3ruGcz1vh9wdcLJ7IF4ek2,https://open.spotify.com/artist/01H1M5VvnktKBqpU0TX8Rl,https://open.spotify.com/track/3ruGcz1vh9wdcLJ7IF4ek2,classical,0.289,0.029,1,-31.863,1,0.0285,0.992,0.906,0.133,0.4,66.942,161020
maurice ravel,"ravel: pavane pour une infante défunte, m. 19",3MRQn2RYo2VLYMoStnLRxu,https://open.spotify.com/artist/17hR0sYHpx7VYTMRfFUOmY,https://open.spotify.com/track/3MRQn2RYo2VLYMoStnLRxu,classical,0.491,0.0176,4,-26.911,0,0.0644,0.994,0.927,0.0985,0.0901,125.793,346587
harold budd,olancha farewell,4KyJQKAFvEH4F52qSMuwIF,https://open.spotify.com/artist/3uOCouLFR4bVx0XeiQJSbl,https://open.spotify.com/track/4KyJQKAFvEH4F52qSMuwIF,classical,0.196,0.00687,7,-34.255,1,0.0442,0.992,0.917,0.106,0.053,72.125,138427
ludwig van beethoven,"für elise, woo 59",6MQAB3vorg90FA3tQpbYXK,https://open.spotify.com/artist/2wOqMjp9TyABvtHdOSOTUS,https://open.spotify.com/track/6MQAB3vorg90FA3tQpbYXK,classical,0.303,0.108,9,-27.433,0,0.0473,0.994,0.877,0.0805,0.18,126.931,188467
johann sebastian bach,"goldberg variations, bwv 988: aria",5bu9A6uphPWg39RC3ZKeku,https://open.spotify.com/artist/5aIqB5nVVvmFsvSdExz408,https://open.spotify.com/track/5bu9A6uphPWg39RC3ZKeku,classical,0.454,0.0139,4,-29.966,0,0.0514,0.995,0.943,0.0736,0.244,130.253,184853
ludwig van beethoven,"egmont, op. 84: overture",1l4ANhcY5n9PgdYHHABuB4,https://open.spotify.com/artist/2wOqMjp9TyABvtHdOSOTUS,https://open.spotify.com/track/1l4ANhcY5n9PgdYHHABuB4,classical,0.289,0.109,5,-17.004,0,0.0453,0.729,0.164,0.139,0.0959,161.89,522667
ludwig van beethoven,ピアノ・ソナタ 第14番「月光」第1楽章,71qsooULxgG6OzIiuYEQig,https://open.spotify.com/artist/2wOqMjp9TyABvtHdOSOTUS,https://open.spotify.com/track/71qsooULxgG6OzIiuYEQig,classical,0.221,0.00522,1,-41.632,0,0.0421,0.996,0.877,0.13,0.275,65.145,405101
ludwig van beethoven,ピアノ・ソナタ 第23番「熱情」第3楽章,5IQ6JeCkOEtuNsFHFWJ6td,https://open.spotify.com/artist/2wOqMjp9TyABvtHdOSOTUS,https://open.spotify.com/track/5IQ6JeCkOEtuNsFHFWJ6td,classical,0.169,0.19,10,-21.454,0,0.0383,0.963,0.951,0.151,0.0936,68.828,326584
ludwig van beethoven,ピアノ・ソナタ 第8番「悲愴」第2楽章,6RBtIh3Q3FhqlO4uQEpoft,https://open.spotify.com/artist/2wOqMjp9TyABvtHdOSOTUS,https://open.spotify.com/track/6RBtIh3Q3FhqlO4uQEpoft,classical,0.291,0.00716,8,-31.171,1,0.045,0.995,0.926,0.132,0.0701,66.88,322910
ludwig van beethoven,"bagatelle no. 25 in a minor, ""für elise"", woo 59",0H2VhGUC3P3hvwz8rdGIpC,https://open.spotify.com/artist/2wOqMjp9TyABvtHdOSOTUS,https://open.spotify.com/track/0H2VhGUC3P3hvwz8rdGIpC,classical,0.23,0.0487,5,-27.675,1,0.0412,0.986,0.945,0.0679,0.101,134.839,203656
